google_email,calendar_id,measured_from,measured_to,event_count,meeting_count,total_meeting_minutes,avg_meeting_duration_minutes,all_day_event_count,active_hours,early_late_meeting_ratio,weekend_meeting_ratio,focus_time_count,focus_time_minutes,fragmented_calendar_score,no_meeting_block_count,organizer_event_count,attendee_event_count,organizer_ratio,attendee_count_avg,large_meeting_ratio,external_meeting_ratio,accepted_attendee_count,declined_attendee_count,tentative_attendee_count,no_response_ratio,recurring_event_count,recurring_meeting_ratio,busy_minutes,working_location_count,working_location_mix,event_update_count,meeting_provider_mix,fetched_at,fetch_status,error_message
emp0065@company.example,primary,2026-02-21,2026-05-22,120,48,1843,38.4,8,11:00-16:00,0.141,0.008,21,1543,65.9,20,3,45,0.062,3.7,0.151,0.009,37,4,2,0.044,36,0.545,5253,34,home:45%;office:45%;other:10%,18,Google Meet:60%;Zoom:19%;Microsoft Teams:6%;In-person:9%;Other:6%,2026-05-22T09:00:00+09:00,success,
emp0041@company.example,primary,2026-02-21,2026-05-22,81,81,2066,25.5,5,09:00-17:00,0.011,0.049,21,1559,47.8,20,13,68,0.16,5.2,0.105,0.09,52,2,6,0.118,28,0.233,4939,59,home:30%;office:60%;other:10%,23,Google Meet:57%;Zoom:23%;Microsoft Teams:5%;In-person:9%;Other:6%,2026-05-22T09:00:00+09:00,success,
emp0053@company.example,primary,2026-02-21,2026-05-22,75,75,2512,33.5,5,11:00-17:00,0.023,0.074,24,2440,59.9,19,27,48,0.36,3.0,0.107,0.075,37,2,1,0.167,30,0.34,7107,51,home:45%;office:45%;other:10%,16,Google Meet:62%;Zoom:16%;Microsoft Teams:9%;In-person:7%;Other:6%,2026-05-22T09:00:00+09:00,success,
emp0057@company.example,primary,2026-02-21,2026-05-22,90,70,2639,37.7,7,09:00-17:00,0.083,0.014,13,1190,68.4,19,21,49,0.3,4.0,0.098,0.065,41,4,4,0.0,34,0.362,5764,62,home:30%;office:60%;other:10%,17,Google Meet:61%;Zoom:17%;Microsoft Teams:7%;In-person:9%;Other:6%,2026-05-22T09:00:00+09:00,success,
emp0069@company.example,primary,2026-02-21,2026-05-22,90,72,2808,39.0,6,10:00-17:00,0.074,0.065,12,747,67.0,23,2,70,0.028,3.8,0.094,0,54,5,2,0.129,24,0.226,5313,24,home:60%;office:30%;other:10%,15,Google Meet:56%;Zoom:20%;Microsoft Teams:9%;In-person:9%;Other:6%,2026-05-22T09:00:00+09:00,success,
emp0073@company.example,primary,2026-02-21,2026-05-22,90,34,1761,51.8,10,09:00-17:00,0.028,0,22,1794,53.0,29,8,26,0.235,5.8,0.201,0.072,22,1,1,0.077,26,0.543,4396,56,home:45%;office:45%;other:10%,23,Google Meet:55%;Zoom:23%;Microsoft Teams:9%;In-person:6%;Other:7%,2026-05-22T09:00:00+09:00,success,
emp0077@company.example,primary,2026-02-21,2026-05-22,78,52,1919,36.9,5,11:00-18:00,0.047,0.043,21,2193,66.6,28,9,43,0.173,4.2,0.156,0.121,36,3,2,0.047,20,0.278,5734,45,office:75%;home:20%;other:5%,24,Google Meet:58%;Zoom:19%;Microsoft Teams:7%;In-person:10%;Other:6%,2026-05-22T09:00:00+09:00,success,
emp0017@company.example,primary,2026-02-21,2026-05-22,97,71,3287,46.3,6,09:00-18:00,0.12,0.052,18,1180,83.5,24,15,56,0.211,5.6,0.174,0.004,44,3,3,0.107,31,0.366,6310,43,home:45%;office:45%;other:10%,22,Google Meet:64%;Zoom:17%;Microsoft Teams:7%;In-person:6%;Other:6%,2026-05-22T09:00:00+09:00,success,
emp0021@company.example,primary,2026-02-21,2026-05-22,102,55,2046,37.2,8,11:00-16:00,0.045,0.051,23,1578,51.4,27,8,47,0.145,5.1,0.163,0.083,34,3,4,0.128,33,0.495,4738,38,home:45%;office:45%;other:10%,30,Google Meet:61%;Zoom:17%;Microsoft Teams:5%;In-person:11%;Other:6%,2026-05-22T09:00:00+09:00,success,
emp0029@company.example,primary,2026-02-21,2026-05-22,96,63,2570,40.8,8,10:00-17:00,0.078,0.035,16,890,78.3,28,17,46,0.27,7.9,0.119,0.037,41,3,1,0.022,37,0.553,5127,50,home:45%;office:45%;other:10%,13,Google Meet:60%;Zoom:15%;Microsoft Teams:7%;In-person:13%;Other:5%,2026-05-22T09:00:00+09:00,success,
emp0033@company.example,primary,2026-02-21,2026-05-22,78,78,2036,26.1,6,10:00-18:00,0.116,0.053,17,1347,62.8,22,21,57,0.269,5.6,0.258,0,48,6,5,0.0,21,0.241,4312,34,home:45%;office:45%;other:10%,10,Google Meet:58%;Zoom:19%;Microsoft Teams:5%;In-person:11%;Other:7%,2026-05-22T09:00:00+09:00,success,
emp0061@company.example,primary,2026-02-21,2026-05-22,145,62,1376,22.2,12,11:00-18:00,0.058,0.045,15,1618,75.1,34,20,42,0.323,4.8,0.065,0.094,36,4,4,0.0,50,0.558,5186,60,office:75%;home:20%;other:5%,26,Google Meet:54%;Zoom:19%;Microsoft Teams:8%;In-person:14%;Other:5%,2026-05-22T09:00:00+09:00,success,
emp0081@company.example,primary,2026-02-21,2026-05-22,78,49,1338,27.3,6,10:00-16:00,0.108,0.032,21,1632,58.0,28,1,48,0.02,3.1,0.119,0.022,39,4,1,0.083,18,0.329,3997,50,office:75%;home:20%;other:5%,10,Google Meet:59%;Zoom:16%;Microsoft Teams:10%;In-person:9%;Other:6%,2026-05-22T09:00:00+09:00,success,
emp0014@company.example,primary,2026-02-21,2026-05-22,53,36,1055,29.3,4,09:00-16:00,0.061,0.018,17,1208,51.4,22,4,32,0.111,2.0,0.046,0.03,25,3,1,0.094,19,0.449,3274,48,home:45%;office:45%;other:10%,7,Google Meet:62%;Zoom:16%;Microsoft Teams:5%;In-person:12%;Other:5%,2026-05-22T09:00:00+09:00,success,
emp0038@company.example,primary,2026-02-21,2026-05-22,54,54,1431,26.5,5,10:00-17:00,0.079,0.041,17,1829,77.5,21,6,48,0.111,3.7,0.143,0.097,40,2,2,0.083,21,0.339,4079,38,home:60%;office:30%;other:10%,11,Google Meet:58%;Zoom:19%;Microsoft Teams:9%;In-person:7%;Other:7%,2026-05-22T09:00:00+09:00,success,
emp0042@company.example,primary,2026-02-21,2026-05-22,37,18,841,46.7,4,09:00-16:00,0.064,0.011,29,2039,38.5,26,4,14,0.222,5.6,0.104,0.026,11,1,1,0.071,12,0.462,4222,65,home:45%;office:45%;other:10%,6,Google Meet:55%;Zoom:22%;Microsoft Teams:8%;In-person:9%;Other:6%,2026-05-22T09:00:00+09:00,success,
emp0058@company.example,primary,2026-02-21,2026-05-22,48,45,2259,50.2,4,10:00-16:00,0.031,0.052,17,1155,58.3,21,9,36,0.2,5.1,0.157,0.077,27,3,3,0.083,19,0.372,4175,47,home:45%;office:45%;other:10%,7,Google Meet:56%;Zoom:20%;Microsoft Teams:7%;In-person:12%;Other:5%,2026-05-22T09:00:00+09:00,success,
emp0070@company.example,primary,2026-02-21,2026-05-22,78,54,2414,44.7,7,09:00-16:00,0.053,0.015,20,1926,42.6,21,8,46,0.148,3.1,0.152,0.063,39,4,2,0.022,26,0.341,6245,56,home:30%;office:60%;other:10%,14,Google Meet:59%;Zoom:15%;Microsoft Teams:11%;In-person:9%;Other:6%,2026-05-22T09:00:00+09:00,success,
emp0018@company.example,primary,2026-02-21,2026-05-22,81,47,2435,51.8,5,09:00-17:00,0.124,0.03,18,1151,57.2,31,5,42,0.106,2.3,0.093,0,35,4,1,0.048,20,0.397,4731,43,home:45%;office:45%;other:10%,14,Google Meet:57%;Zoom:14%;Microsoft Teams:8%;In-person:15%;Other:6%,2026-05-22T09:00:00+09:00,success,
emp0022@company.example,primary,2026-02-21,2026-05-22,102,43,1286,29.9,6,10:00-17:00,0.151,0,24,2066,30.1,33,9,34,0.209,5.8,0.21,0.021,29,3,1,0.029,41,0.812,4890,50,home:45%;office:45%;other:10%,29,Google Meet:62%;Zoom:17%;Microsoft Teams:6%;In-person:10%;Other:5%,2026-05-22T09:00:00+09:00,success,
emp0046@company.example,primary,2026-02-21,2026-05-22,72,51,2244,44.0,7,11:00-18:00,0.055,0.056,26,2582,78.9,26,11,40,0.216,3.3,0.046,0.051,31,2,2,0.125,25,0.457,5829,61,home:30%;office:60%;other:10%,17,Google Meet:58%;Zoom:20%;Microsoft Teams:10%;In-person:6%;Other:6%,2026-05-22T09:00:00+09:00,success,
emp0062@company.example,primary,2026-02-21,2026-05-22,108,39,1708,43.8,10,09:00-16:00,0.032,0.038,25,2017,64.6,24,5,34,0.128,5.9,0.186,0.117,31,2,2,0.0,37,0.64,4824,31,home:45%;office:45%;other:10%,16,Google Meet:57%;Zoom:21%;Microsoft Teams:9%;In-person:7%;Other:6%,2026-05-22T09:00:00+09:00,success,
emp0078@company.example,primary,2026-02-21,2026-05-22,91,43,1664,38.7,9,09:00-18:00,0.137,0.012,21,1850,31.0,31,10,33,0.233,5.2,0.13,0.049,25,2,1,0.152,36,0.717,5076,49,home:45%;office:45%;other:10%,13,Google Meet:57%;Zoom:20%;Microsoft Teams:8%;In-person:10%;Other:5%,2026-05-22T09:00:00+09:00,success,
emp0082@company.example,primary,2026-02-21,2026-05-22,62,53,2168,40.9,2,10:00-17:00,0.115,0.008,22,1288,72.1,23,8,45,0.151,3.9,0.16,0.117,36,4,2,0.067,25,0.308,5475,34,home:30%;office:60%;other:10%,13,Google Meet:62%;Zoom:19%;Microsoft Teams:6%;In-person:6%;Other:7%,2026-05-22T09:00:00+09:00,success,
emp0026@company.example,primary,2026-02-21,2026-05-22,94,73,2190,30.0,5,10:00-17:00,0.019,0.023,16,1294,66.2,15,14,59,0.192,3.3,0.094,0.103,44,4,3,0.136,32,0.322,4826,40,home:30%;office:60%;other:10%,20,Google Meet:59%;Zoom:21%;Microsoft Teams:9%;In-person:6%;Other:5%,2026-05-22T09:00:00+09:00,success,
emp0050@company.example,primary,2026-02-21,2026-05-22,79,39,1880,48.2,5,10:00-18:00,0.065,0.045,23,2430,65.7,27,9,30,0.231,4.9,0.146,0.031,27,3,2,0.0,25,0.541,5901,22,home:45%;office:45%;other:10%,24,Google Meet:59%;Zoom:17%;Microsoft Teams:6%;In-person:13%;Other:5%,2026-05-22T09:00:00+09:00,success,
emp0054@company.example,primary,2026-02-21,2026-05-22,99,14,455,32.5,7,10:00-16:00,0.119,0.0,18,1487,40.7,31,3,11,0.214,5.6,0.167,0.074,10,1,1,0.0,23,1,3689,32,office:75%;home:20%;other:5%,20,Google Meet:60%;Zoom:19%;Microsoft Teams:8%;In-person:7%;Other:6%,2026-05-22T09:00:00+09:00,success,
emp0066@company.example,primary,2026-02-21,2026-05-22,98,25,855,34.2,6,11:00-16:00,0.049,0.054,18,1977,42.0,24,1,24,0.04,5.4,0.061,0.081,21,2,1,0.0,34,0.987,3961,36,home:60%;office:30%;other:10%,17,Google Meet:60%;Zoom:13%;Microsoft Teams:8%;In-person:12%;Other:7%,2026-05-22T09:00:00+09:00,success,
emp0074@company.example,primary,2026-02-21,2026-05-22,96,60,2292,38.2,7,11:00-17:00,0.095,0.041,18,1874,66.6,28,19,41,0.317,5.4,0.106,0.062,33,2,1,0.122,22,0.331,6187,59,home:60%;office:30%;other:10%,28,Google Meet:57%;Zoom:18%;Microsoft Teams:9%;In-person:10%;Other:6%,2026-05-22T09:00:00+09:00,success,
emp0030@company.example,primary,2026-02-21,2026-05-22,96,69,2118,30.7,7,09:00-17:00,0.032,0.037,20,1934,57.9,19,26,43,0.377,5.5,0.118,0.046,38,2,3,0.0,40,0.468,5579,54,home:60%;office:30%;other:10%,25,Google Meet:59%;Zoom:18%;Microsoft Teams:5%;In-person:11%;Other:7%,2026-05-22T09:00:00+09:00,success,
emp0034@company.example,primary,2026-02-21,2026-05-22,73,66,2297,34.8,3,09:00-17:00,0.085,0,14,799,82.0,25,12,54,0.182,5.1,0.17,0.066,47,2,4,0.019,20,0.198,4066,27,home:30%;office:60%;other:10%,20,Google Meet:60%;Zoom:13%;Microsoft Teams:8%;In-person:12%;Other:7%,2026-05-22T09:00:00+09:00,success,
emp0040@company.example,primary,2026-02-21,2026-05-22,45,41,1984,48.4,4,09:00-16:00,0.111,0.069,20,1303,51.4,26,2,39,0.049,2.3,0.141,0.009,29,2,2,0.154,14,0.273,4798,54,home:60%;office:30%;other:10%,8,Google Meet:60%;Zoom:14%;Microsoft Teams:6%;In-person:13%;Other:7%,2026-05-22T09:00:00+09:00,success,
emp0020@company.example,primary,2026-02-21,2026-05-22,79,53,1394,26.3,6,09:00-18:00,0.115,0.011,14,1434,52.3,16,11,42,0.208,1.1,0.152,0.013,38,1,3,0.0,22,0.362,4205,43,home:45%;office:45%;other:10%,16,Google Meet:58%;Zoom:19%;Microsoft Teams:5%;In-person:12%;Other:6%,2026-05-22T09:00:00+09:00,success,
emp0024@company.example,primary,2026-02-21,2026-05-22,69,53,2459,46.4,4,10:00-16:00,0.07,0.029,11,912,59.4,21,12,41,0.226,5.6,0.103,0.072,32,4,2,0.073,21,0.282,5439,36,home:45%;office:45%;other:10%,15,Google Meet:54%;Zoom:21%;Microsoft Teams:6%;In-person:12%;Other:7%,2026-05-22T09:00:00+09:00,success,
emp0048@company.example,primary,2026-02-21,2026-05-22,69,45,2038,45.3,3,10:00-16:00,0.139,0.035,14,881,61.1,28,8,37,0.178,5.8,0.127,0.039,32,2,2,0.027,21,0.339,3660,30,home:30%;office:60%;other:10%,13,Google Meet:62%;Zoom:20%;Microsoft Teams:5%;In-person:7%;Other:6%,2026-05-22T09:00:00+09:00,success,
emp0056@company.example,primary,2026-02-21,2026-05-22,74,65,2275,35.0,3,10:00-18:00,0.032,0.008,16,1183,59.1,22,11,54,0.169,4.0,0.033,0.015,44,4,5,0.019,28,0.339,5494,57,home:45%;office:45%;other:10%,24,Google Meet:60%;Zoom:15%;Microsoft Teams:6%;In-person:13%;Other:6%,2026-05-22T09:00:00+09:00,success,
emp0068@company.example,primary,2026-02-21,2026-05-22,94,56,2111,37.7,3,09:00-17:00,0.076,0.026,23,1919,73.5,16,15,41,0.268,6.1,0.169,0,37,4,1,0.0,22,0.305,6046,48,office:75%;home:20%;other:5%,26,Google Meet:61%;Zoom:16%;Microsoft Teams:10%;In-person:6%;Other:7%,2026-05-22T09:00:00+09:00,success,
emp0028@company.example,primary,2026-02-21,2026-05-22,92,92,2640,28.7,8,11:00-17:00,0.095,0.015,14,947,81.2,19,20,72,0.217,3.1,0.095,0.115,59,5,5,0.042,21,0.202,5729,35,home:45%;office:45%;other:10%,27,Google Meet:55%;Zoom:18%;Microsoft Teams:11%;In-person:10%;Other:6%,2026-05-22T09:00:00+09:00,success,
